Date(YYYYMMDD_HHMMSS),PWV(um)
20240221_120000,690.000
20240222_000000,630.000
20240222_120000,980.000
20240223_000000,980.000
20240224_120000,840.000
20240225_000000,790.000
20240225_120000,940.000
20240226_000000,770.000
20240226_120000,760.000
20240227_000000,730.000
20240227_120000,700.000
20240228_000000,610.000
20240228_120000,900.000
20240229_000000,560.000
20240229_120000,590.000
20240301_000000,630.000
20240301_120000,420.000
20240302_000000,320.000
20240302_120000,370.000
20240303_120000,370.000
20240304_120000,390.000
20240305_120000,500.000
20240306_120000,1140.000
20240307_000000,690.000
20240308_120000,930.000
20240309_120000,690.000
20240310_120000,540.000
20240311_120000,510.000
20240312_120000,450.000
20240313_120000,390.000
20240314_000000,990.000
20240314_120000,1180.000
20240315_000000,990.000
20240315_120000,690.000
20240316_000000,650.000
20240316_120000,620.000
20240317_000000,520.000
20240317_120000,450.000
20240318_000000,330.000
20240318_120000,560.000
20240319_000000,820.000
20240319_120000,920.000
20240320_000000,730.000
20240320_120000,750.000
20240321_000000,550.000
20240321_120000,1220.000
20240322_000000,890.000
20240322_120000,640.000
20240323_000000,460.000
20240323_120000,470.000
20240324_000000,370.000
20240324_120000,320.000
20240325_120000,400.000
20240326_120000,380.000
20240327_120000,370.000
20240328_120000,420.000
20240329_000000,430.000
20240329_120000,510.000
20240330_120000,420.000
20240331_120000,330.000
20240401_000000,490.000
20240402_000000,480.000
20240405_000000,300.000
20240406_000000,260.000
20240407_000000,330.000
20240408_000000,380.000
20240408_120000,330.000
20240409_000000,360.000
20240410_120000,380.000
20240411_000000,410.000
20240417_000000,580.000
20240417_120000,540.000
20240418_000000,520.000
20240419_000000,390.000
20240420_000000,420.000
20240421_000000,420.000
20240422_000000,330.000
20240423_000000,190.000
20240424_000000,210.000
20240425_000000,230.000
20240426_000000,210.000
20240427_000000,350.000
20240428_000000,280.000
20240429_000000,260.000
20240501_120000,800.000
20240502_120000,310.000
20240503_120000,300.000
20240504_120000,310.000
20240505_120000,550.000
20240507_000000,400.000
20240508_120000,410.000
20240509_120000,450.000
20240510_120000,550.000
20240511_120000,240.000
20240512_120000,260.000
20240513_120000,370.000
20240515_120000,800.000
20240516_120000,540.000
20240517_120000,460.000
20240518_120000,330.000
20240519_120000,330.000
20240521_120000,360.000
20240522_120000,300.000
20240523_120000,290.000
20240524_120000,300.000
20240525_120000,170.000
20240526_120000,150.000
20240528_120000,230.000
20240529_120000,200.000
20240530_120000,480.000
20240531_120000,420.000
20240601_000000,200.000
20240602_000000,350.000
20240603_000000,290.000
20240604_000000,300.000
20240605_000000,390.000
20240606_000000,300.000
20240607_000000,250.000
20240608_000000,320.000
20240609_000000,320.000
20240610_000000,660.000
20240612_000000,550.000
20240613_000000,130.000
20240614_000000,150.000
20240615_000000,250.000
20240616_000000,270.000
20240617_000000,340.000
20240619_000000,350.000
20240620_000000,420.000
20240622_000000,280.000
20240623_000000,330.000
20240624_000000,250.000
20240625_000000,360.000
20240626_000000,370.000
20240627_000000,360.000
20240629_000000,450.000
20240630_000000,550.000
20240701_120000,260.000
20240702_000000,280.000
20240703_120000,380.000
20240704_120000,530.000
20240705_120000,370.000
20240706_120000,310.000
20240707_120000,390.000
20240708_120000,470.000
20240709_120000,350.000
20240710_120000,300.000
20240711_000000,180.000
20240712_120000,140.000
20240713_120000,160.000
20240714_120000,180.000
20240715_120000,190.000
20240716_120000,210.000
20240717_120000,530.000
20240718_120000,460.000
20240719_120000,430.000
20240720_120000,350.000
20240721_120000,800.000
20240722_120000,690.000
20240723_120000,720.000
20240725_120000,270.000
20240726_120000,810.000
20240727_120000,710.000
20240728_120000,700.000
20240729_120000,560.000
20240730_120000,550.000
20240731_120000,290.000
20240801_000000,220.000
20240802_000000,360.000
20240803_000000,610.000
20240804_000000,370.000
20240805_000000,210.000
20240806_000000,940.000
20240807_000000,630.000
20240807_120000,550.000
20240809_000000,470.000
20240810_000000,270.000
20240811_000000,620.000
20240812_000000,330.000
20240812_120000,290.000
20240813_000000,360.000
20240814_000000,230.000
20240814_120000,260.000
20240815_000000,210.000
20240815_120000,200.000
20240816_000000,200.000
20240816_120000,170.000
20240817_000000,220.000
20240817_120000,450.000
20240818_000000,340.000
20240818_120000,280.000
20240819_000000,270.000
20240820_000000,600.000
20240820_120000,410.000
20240821_000000,350.000
20240821_120000,510.000
20240822_000000,370.000
20240822_120000,450.000
20240823_000000,320.000
20240823_120000,300.000
20240824_000000,300.000
20240824_120000,250.000
20240825_000000,230.000
20240825_120000,280.000
20240826_000000,290.000
20240827_000000,450.000
20240828_000000,190.000
20240828_120000,200.000
20240830_000000,470.000
20240831_000000,500.000
20240901_120000,540.000
20240902_000000,610.000
20240903_120000,400.000
20240904_120000,390.000
20240905_120000,370.000
20240906_120000,390.000
20240907_120000,370.000
20240908_120000,520.000
20240909_120000,380.000
20240910_120000,290.000
20240913_120000,250.000
20240914_120000,240.000
20240915_120000,270.000
20240916_000000,290.000
20240916_120000,310.000
20240917_120000,260.000
20240918_000000,230.000
20240918_120000,200.000
20240919_000000,120.000
20240919_120000,160.000
20240920_000000,210.000
20240920_120000,220.000
20240921_000000,220.000
20240921_120000,210.000
20240922_000000,170.000
20240922_120000,270.000
20240923_000000,320.000
20240923_120000,350.000
20240924_120000,450.000
20240925_000000,400.000
20240925_120000,150.000
20240926_000000,180.000
20240926_120000,180.000
20240927_000000,160.000
20240927_120000,160.000
20240928_000000,170.000
20240928_120000,330.000
20240929_000000,440.000
20240929_120000,440.000
20240930_000000,390.000
20240930_120000,380.000
20241002_120000,410.000
20241004_000000,190.000
20241005_000000,280.000
20241006_000000,230.000
20241007_000000,290.000
20241007_120000,230.000
20241008_000000,160.000
20241008_120000,210.000
20241010_120000,400.000
20241011_000000,420.000
20241011_120000,510.000
20241012_000000,440.000
20241013_000000,200.000
20241014_000000,160.000
20241015_120000,300.000
20241016_120000,350.000
20241018_000000,350.000
20241019_000000,480.000
20241020_120000,560.000
20241022_120000,630.000
20241023_120000,710.000
20241024_120000,950.000
20241025_000000,580.000
20241027_000000,440.000
20241028_000000,530.000
20241029_120000,520.000
20241030_120000,210.000
20241031_120000,480.000
20241101_000000,580.000
20241102_000000,460.000
20241103_000000,360.000
20241104_000000,410.000
20241105_000000,490.000
20241107_000000,750.000
20241108_000000,510.000
20241108_120000,450.000
20241109_000000,560.000
20241110_000000,880.000
20241110_120000,850.000
20241111_000000,910.000
20241111_120000,920.000
20241112_000000,780.000
20241112_120000,570.000
20241113_000000,770.000
20241113_120000,430.000
20241114_000000,260.000
20241114_120000,290.000
20241115_000000,340.000
20241115_120000,320.000
20241116_000000,280.000
20241116_120000,410.000
20241117_120000,390.000
20241118_000000,420.000
20241118_120000,450.000
20241119_000000,700.000
20241119_120000,300.000
20241120_120000,350.000
20241121_000000,300.000
20241121_120000,500.000
20241124_000000,310.000
20241124_120000,470.000
20241125_000000,280.000
20241125_120000,430.000
20241126_000000,420.000
20241127_120000,500.000
20241128_000000,510.000
20241128_120000,460.000
20241129_000000,510.000
20241129_120000,550.000
20241130_000000,500.000
20241130_120000,530.000
20241201_000000,500.000
20241201_120000,500.000
20241202_000000,450.000
20241202_120000,720.000
20241203_000000,500.000
20241204_120000,410.000
20241205_000000,570.000
20241205_120000,660.000
20241206_000000,940.000
20241206_120000,1210.000
20241207_000000,920.000
20241207_120000,870.000
20241208_120000,950.000
20241209_000000,960.000
20241209_120000,1030.000
20241210_000000,1020.000
20241210_120000,1000.000
20241211_120000,770.000
20241212_120000,1130.000
20241213_000000,1160.000
20241213_120000,1070.000
20241214_000000,880.000
20241214_120000,990.000
20241216_120000,980.000
20241217_000000,1000.000
20241217_120000,960.000
20241218_120000,1280.000
20241219_000000,1380.000
20241219_120000,1340.000
20241220_000000,1140.000
20241220_120000,1030.000
20241221_000000,870.000
20241221_120000,730.000
20241222_000000,730.000
20241222_120000,490.000
20241223_000000,780.000
20241223_120000,730.000
20241224_000000,680.000
20241224_120000,690.000
20241225_000000,560.000
20241225_120000,510.000
20241226_120000,1140.000
20241227_000000,810.000
20241227_120000,1230.000
20241228_000000,990.000
20241228_120000,1050.000
20241229_000000,1040.000
20241229_120000,850.000
20241230_000000,900.000
20241230_120000,970.000
20241231_000000,840.000
20250101_000000,760.000
20250101_120000,690.000
20250102_000000,630.000
20250102_120000,700.000
20250103_000000,610.000
20250103_120000,570.000
20250104_000000,550.000
20250104_120000,450.000
20250105_120000,1120.000
20250106_000000,1360.000
20250107_000000,1220.000
20250107_120000,1600.000
20250108_120000,1490.000
20250109_000000,1590.000
20250109_120000,1490.000
20250110_000000,1260.000
20250110_120000,1080.000
20250111_000000,1200.000
20250111_120000,1320.000
20250112_120000,1190.000
20250113_000000,1230.000
20250113_120000,970.000
20250114_000000,1040.000
20250114_120000,960.000
20250115_000000,990.000
20250115_120000,1070.000
20250116_000000,980.000
20250116_120000,960.000
20250117_000000,750.000
20250117_120000,1140.000
20250118_000000,1190.000
20250118_120000,1490.000
20250119_000000,1670.000
20250119_120000,1510.000
20250120_000000,1370.000
20250120_120000,1320.000
20250121_000000,1680.000
20250121_120000,1880.000
20250122_120000,950.000
20250123_000000,1230.000
20250123_120000,1320.000
20250124_000000,1500.000
20250124_120000,1520.000
20250125_120000,1190.000
20250126_000000,1090.000
20250126_120000,1170.000
20250127_120000,1310.000
20250128_000000,1270.000
20250128_120000,750.000
20250129_120000,1080.000
20250130_000000,880.000
20250130_120000,920.000
20250131_000000,760.000
20250201_120000,930.000
20250202_000000,800.000
20250202_120000,790.000
20250203_000000,830.000
20250203_120000,930.000
20250204_000000,700.000
20250204_120000,910.000
20250207_120000,830.000
20250208_000000,920.000
20250208_120000,980.000
20250209_000000,890.000
20250209_120000,1010.000
20250210_000000,1080.000
20250210_120000,850.000
20250211_000000,890.000
20250211_120000,820.000
20250212_000000,840.000
20250214_000000,1130.000
20250214_120000,820.000
20250215_000000,770.000
20250216_000000,760.000
20250216_120000,580.000
20250217_000000,520.000
20250218_120000,810.000
20250219_120000,840.000
20250220_000000,640.000
20250221_120000,430.000
20250222_000000,410.000
20250223_000000,470.000
20250224_120000,880.000
20250225_000000,770.000
20250226_000000,880.000
20250226_120000,630.000
20250227_000000,720.000
20250227_120000,850.000
20250228_000000,1040.000
20250228_120000,990.000
